ID,FPS,LOOPTYPE,,
IdleDown,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/mario.png,21,1463,25,47
graphics/mario.png,55,1463,25,47
graphics/mario.png,89,1463,25,47
graphics/mario.png,123,1463,25,47
graphics/mario.png,157,1463,25,47
graphics/mario.png,191,1462,25,48
graphics/mario.png,224,1462,27,48
graphics/mario.png,257,1463,29,47
graphics/mario.png,291,1464,29,46
graphics/mario.png,326,1464,27,46
graphics/mario.png,361,1463,25,47
graphics/mario.png,395,1463,25,47
graphics/mario.png,429,1463,25,47
graphics/mario.png,463,1463,25,47
graphics/mario.png,497,1463,25,47
graphics/mario.png,531,1493,25,47
graphics/mario.png,565,1463,25,47
graphics/mario.png,559,1463,25,47
graphics/mario.png,633,1463,25,47
graphics/mario.png,667,1462,25,48
graphics/mario.png,700,1462,27,48
graphics/mario.png,733,1463,29,47
graphics/mario.png,767,1464,29,46
graphics/mario.png,802,1464,27,46
graphics/mario.png,837,1464,25,47
